"","patch","area_m2","longitude","latitude"
"1",1,214066.760843346,658303.466682279,5212780.74989659
"2",8,62.0148522575037,658595.991513507,5213065.72319614
"3",12,45.0108210115286,658484.483346493,5213049.72344282
"4",17,121.029074159131,658507.542886646,5212999.47628363
"5",18,52.0125195286528,658447.980672987,5212998.72422911
"6",24,2172170.01278142,658728.398777682,5211541.85046139
"7",29,596.143398404063,658465.750430845,5212939.31910473
"8",30,1127.27147177502,658429.281432976,5212899.26702249
"9",35,45.0107377482927,658722.500779221,5212882.72601754
"10",36,75.0180291843135,658490.577126144,5212876.63277815
"11",37,45.0107407247415,658716.50033974,5212870.72620255
"12",39,45.0107445377216,658704.499460779,5212869.72621796
"13",41,159.03772408946,658891.30559555,5212844.40585363
"14",43,45.0108124527615,658503.484738182,5212842.72663424
"15",52,56.0134734802123,658467.982137922,5212830.22682696
"16",58,2454.58583144791,658705.911137114,5212778.0744118
"17",62,195.047953570902,657781.954969263,5212775.33792963
"18",64,45.0110723862308,657763.430535584,5212765.72782138
"19",65,71.0174455034139,657805.898434725,5212765.44613559
"20",66,45.0110807226738,657741.428924156,5212750.72805265
"21",70,52.0128124445037,657718.42723948,5212739.22822995
"22",71,155.038162491954,657742.306407779,5212738.68952858
"23",73,128.03133845597,657917.559011668,5212734.45486604
"24",76,158.038650838746,657945.386900296,5212732.74731721
"25",78,76.0186330570141,657877.938922338,5212723.22847663
"26",80,45.0110245092364,657907.441083117,5212722.72848434
"27",82,345.084669973003,657842.720400855,5212709.09101344
"28",86,258.061438052915,658782.49742152,5212704.61636048
"29",89,158.037513958552,658868.169676061,5212698.12126879
"30",91,209.05039583196,658395.902696044,5212686.31756246
"31",92,45.011045871157,657831.435516364,5212682.72910103
"32",94,608.150220489304,657632.401201972,5212673.04503981
"33",95,119.029230446817,657819.930472038,5212680.2333412
"34",97,58.0140250998084,658310.074020788,5212680.33258626
"35",98,341.084024220792,657720.565225982,5212676.42421291
"36",101,63.0153776158695,658014.893397518,5212676.76093908
"37",102,82.0201911298791,657743.12417027,5212675.72920896
"38",103,399.097595326515,657951.396683438,5212668.26065242
"39",105,87.0213083298877,657906.44100987,5212670.72928605
"40",107,45.0109981398564,657975.446063896,5212669.72930146
"41",108,158.03881159029,657811.478358471,5212665.88758854
"42",109,152.035995944345,658948.260735246,5212660.47286523
"43",111,45.0109867668652,657997.447675325,5212661.7294248
"44",112,52.0126635217166,658091.954597143,5212661.7294248
"45",117,65.0159936910786,657764.784480903,5212653.59108874
"46",118,56.0136686322512,658017.949176883,5212654.22954043
"47",119,45.0110820470436,657734.428411428,5212650.7295944
"48",122,2022.4928330417,658062.048351377,5212623.70923947
"49",124,232.056020893942,658353.021131811,5212642.13489932
"50",127,78.0185584984429,658809.160972488,5212642.89638183
"51",129,372.091875780781,657643.986303452,5212631.14656299
"52",130,45.0108560228837,658388.476314805,5212639.72976399
"53",131,45.0110783611308,657746.42929039,5212637.72979482
"54",134,100.02468513514,657662.21312228,5212632.72987191
"55",135,86.0212202311668,657674.924053247,5212633.72985649
"56",136,147.034996796923,658786.866037639,5212630.6278635
"57",141,81.019948305533,657737.601483335,5212629.86571854
"58",143,110.026451552752,658484.983383117,5212625.22998754
"59",144,86.0211998543818,657707.763667768,5212619.36961278
"60",145,416.101726033172,657958.964087503,5212599.42990455
"61",147,45.010739086254,658713.50012,5212600.73036527
"62",148,56.0138256306236,657655.922661558,5212598.23040381
"63",150,73.017875167192,657915.441669091,5212592.73048861
"64",151,234.057352601405,657888.533715409,5212588.67499558
"65",153,45.0108235770313,658479.48298026,5212585.73059653
"66",157,285.067202951584,659079.948011784,5212565.27126284
"67",162,230.054141824687,659129.591464673,5212537.81394399
"68",164,45.0111374151311,657577.416911688,5212538.73132116
"69",165,58.0140719953924,658213.066915853,5212532.12797469
"70",166,107.026381813543,657700.108140755,5212529.3950165
"71",167,184.045342603582,657715.225918055,5212528.66625894
"72",168,914.224733617826,657785.072164411,5212500.91571162
"73",169,211.051984814752,657724.972742579,5212508.95452906
"74",171,662.157769220852,658756.462481124,5212498.15641802
"75",172,52.012398690742,658745.502463896,5212511.23174513
"76",175,203.050132245291,657648.624097445,5212503.007734
"77",176,59.0145623813441,657662.423137662,5212506.73181451
"78",181,52.0123433640692,658879.512278961,5212499.23193014
"79",182,114.027147459827,658779.803221745,5212491.039074
"80",186,164.040400076221,657727.055920237,5212486.35407991
"81",187,45.0111148653959,657645.421892468,5212487.73210745
"82",193,979.24162437045,657665.196578791,5212463.33820366
"83",194,214.050964378606,658780.135841614,5212471.58282372
"84",200,63.015403521189,657960.476713552,5212469.28794737
"85",201,125.03012125555,658417.382431929,5212459.10054888
"86",202,63.0149275750446,658931.960564791,5212456.70083985
"87",207,157.038370302063,657981.057939886,5212449.10212978
"88",208,80.0189486689051,658941.51682026,5212449.38269871
"89",210,157.037166907277,658962.989730545,5212441.33791828
"90",217,201.04823066949,658549.383622268,5212431.27029139
"91",219,45.0107163205976,658783.505247273,5212436.73289374
"92",221,102.023858555447,659318.318927573,5212431.11533329
"93",224,45.0110137062729,657928.442621299,5212423.73309417
"94",228,127.030490819801,658532.896341147,5212415.26078384
"95",232,198.046918509703,658932.773755663,5212410.35451255
"96",233,58.0138536409067,658687.101634814,5212411.33673356
"97",236,993.238632918394,658501.944846949,5212386.03881128
"98",238,45.0110803935095,657743.429070649,5212401.73343335
"99",240,52.0126445686037,658133.457636883,5212398.23348731
"100",243,353.082588108577,659316.05133384,5212391.34549153
"101",247,89.0219252094685,657725.41651543,5212390.81225341
"102",250,144.034641158214,658471.947706143,5212386.06700822
"103",255,45.0110755708592,657754.429876364,5212382.73372628
"104",260,66.0153478559514,659493.663320842,5212381.3246571
"105",262,103.024748917058,658504.785804347,5212376.13188632
"106",263,358.08802809153,657784.197419708,5212369.3596308
"107",266,453.105811109854,659362.905299231,5212361.38085461
"108",270,45.0106639242731,658927.515794805,5212360.73406547
"109",271,56.0133119868406,658834.008946234,5212356.23413485
"110",273,45.0111011910776,657682.424602597,5212354.73415797
"111",274,208.05100489076,657871.741353034,5212346.8112032
"112",276,1491.35462577717,658818.385065501,5212319.50331282
"113",281,354.087265865994,657703.24251151,5212332.81359198
"114",285,226.055449917563,657851.636110927,5212325.42930005
"115",286,89.021305767179,658623.055293448,5212329.85813701
"116",287,21087.1877885064,657760.490608658,5212223.18135271
"117",291,56.0137511989451,657829.935406493,5212326.23459737
"118",294,77.0189829388983,657708.634314441,5212320.04638109
"119",296,144.035093958082,658067.918114455,5212313.35979587
"120",298,107.026390734274,657688.789554756,5212313.28619887
"121",301,247.058532743657,658928.426792702,5212307.44338911
"122",302,334.082336977037,657702.057777086,5212303.19902438
"123",303,52.0126588939747,658103.45543948,5212309.23485947
"124",308,218.05324463197,657995.878753075,5212299.95518603
"125",309,111.027163785882,657936.479245948,5212303.29350963
"126",314,45.01108353163,657729.428045195,5212301.7349751
"127",317,270.06307672456,659357.21393316,5212290.06108101
"128",327,260.061838241032,658817.896227654,5212272.92003474
"129",330,352.081956833776,659457.847250653,5212268.4712834
"130",335,45.0109383964445,658146.458589091,5212270.73545304
"131",348,1634.3958046003,658255.17830218,5212241.57249998
"132",353,45.0110217448964,657904.440863377,5212248.73579223
"133",355,52.0124311021646,658660.996274546,5212247.73580764
"134",356,45.0106379439821,659002.521288312,5212245.73583848
"135",357,283.068698545743,658187.214224266,5212235.98333866
"136",362,190.045860918442,658364.669307989,5212231.37290203
"137",363,123.028990298684,659094.999606268,5212234.01244199
"138",365,131.032184181822,657814.365563846,5212231.48414981
"139",367,288.070216509484,658053.858056899,5212226.60766117
"140",370,76.018460272433,658167.960163896,5212226.89402371
"141",372,203.047718141956,659172.784990189,5212224.32237552
"142",375,419.101864510041,658141.935584789,5212221.31139405
"143",377,555.132274044037,658755.764476761,5212207.68056935
"144",378,184.04346178766,659029.865682357,5212215.93195016
"145",379,376.089512324455,658791.378164322,5212206.65399422
"146",380,73.0176773199928,658265.09741535,5212217.09244448
