"","patch","area_m2","longitude","latitude"
"103",147,1,658538.487301818,5212682.72910104
"104",148,4,658922.015391948,5212682.72910104
"105",150,267,658605.03150145,5212678.17860939
"106",151,560,658665.67697451,5212662.00977762
"107",152,27,658790.690958749,5212680.8032048
"108",154,1,658576.490085195,5212679.72914729
"109",155,391,658170.930969718,5212669.29708307
"110",157,12,658253.383087056,5212671.72927063
"111",158,70,658992.334827956,5212668.75788787
"112",159,1,658753.50304987,5212673.72923979
"113",160,3,658756.836627359,5212671.06261424
"114",161,1,658756.50326961,5212668.72931688
"115",162,168,658773.879542273,5212663.47344553
"116",163,21,658791.839190996,5212659.34850913
"117",164,10,658946.517186494,5212658.72947106
"118",165,3,658762.503709091,5212657.72948647
"119",166,2,658784.005283896,5212657.72948647
"120",168,813,658895.723798419,5212642.19959061
"121",169,2,658615.992978442,5212655.72951731
"122",170,13,658546.718673926,5212652.96032923
"123",171,8,658553.613409675,5212652.85456163
"124",172,1546,658821.117963271,5212602.37652359
"125",173,141,658592.973561971,5212639.74394817
"126",174,16,658917.515062338,5212641.04224375
"127",176,23,658630.146188955,5212638.59934663
"128",177,661,658283.194776305,5212621.86770958
"129",178,55,658557.797807055,5212636.34799794
"130",179,14,658911.014586234,5212637.22980253
"131",180,2,658554.98851039,5212636.72981024
"132",183,22,658716.864002739,5212633.95712572
"133",184,1,658246.465913766,5212634.72984107
"134",185,288,658962.226670411,5212623.59459609
"135",186,1718,658545.07102034,5212594.95397004
"136",187,14,658860.082284453,5212622.87288103
"137",188,1335,658906.001859545,5212584.5860449
"138",189,2660,658630.243270273,5212575.02098721
"139",191,250,657990.767186038,5212597.00242275
"140",195,4,658693.998691688,5212606.23028047
"141",197,8,658916.139961623,5212602.73033444
"142",198,2,658969.518871169,5212600.23037298
"143",200,2,658644.995102597,5212598.23040381
"144",201,41,658966.201555033,5212595.70605249
"145",202,1,658959.518138701,5212597.73041152
"146",204,3,658248.132702511,5212596.39709875
"147",206,43,657950.42097521,5212593.26536409
"148",213,1,658664.496530909,5212588.73055028
"149",214,13,658936.362596604,5212585.73059653
"150",216,5,658665.896633455,5212585.3306027
"151",218,1,658954.517772467,5212584.73061195
"152",219,11,658871.148029988,5212582.27610434
"153",220,4,658957.267973896,5212583.48063122
"154",221,3393,658040.795972525,5212561.77635341
"155",222,2,658931.016051169,5212582.73064278
"156",223,1,658933.516234286,5212582.73064278
"157",227,7,658689.498362078,5212580.87352856
"158",228,30,658754.069758043,5212580.26401415
"159",229,1,658769.504221818,5212581.7306582
"160",231,1396,658973.274160538,5212541.86307803
"161",234,279,658950.022819595,5212564.94238657
"162",235,6,657841.102891082,5212578.23071216
"163",237,12,658859.260795714,5212577.31405963
"164",239,1,658647.495285714,5212577.73071987
"165",248,13,658688.113645274,5212573.88462532
"166",249,25,658768.264130992,5212571.77081176
"167",251,2,657826.935186753,5212573.73078154
"168",253,9,658208.129772641,5212572.28635937
"169",254,14,658201.962654286,5212569.65941574
"170",255,8,658212.588432532,5212570.60582972
"171",257,4,657900.190552078,5212570.48083165
"172",259,5,658587.29087626,5212569.93084013
"173",260,2,658198.462397922,5212569.23085092
"174",261,15,658865.377910407,5212568.26419916
"175",262,140,659076.783870263,5212561.86667874
"176",263,2,657859.937603896,5212568.73085863
"177",264,12,657840.519515022,5212565.39757669
"178",266,1,658196.462251429,5212566.73088946
"179",268,1,658209.463203636,5212566.73088946
"180",269,2,658588.490964156,5212565.23091259
"181",270,22,658769.14055882,5212561.32188195
"182",271,1,658970.518944415,5212565.73090488
"183",272,2,657847.936724935,5212564.23092801
"184",278,3,658197.128966927,5212563.39760752
"185",279,1,658758.503416104,5212563.73093572
"186",280,782,657813.453380912,5212549.52782989
"187",281,180,658151.736753449,5212551.79778637
"188",282,4,658171.46042026,5212562.23095884
"189",284,11,658966.518651429,5212560.18553583
"190",287,2,657841.936285455,5212559.2310051
"191",289,3366,658673.774988254,5212479.1377658
"192",294,1,658581.490451428,5212558.7310128
"193",298,23,658787.592503151,5212555.64410387
"194",299,44,658931.425172042,5212552.23111302
"195",300,18,657844.547587821,5212553.84219929
"196",301,113,658002.102883535,5212550.53644888
"197",306,27,657990.669401097,5212545.91639556
"198",307,11,658890.422168925,5212547.7311824
"199",308,7,657850.151172838,5212547.87403734
"200",309,3,658895.18009316,5212548.39783878
"201",310,1,657801.433318961,5212546.73119781
"202",312,251,658801.410941181,5212531.595973
"203",313,1,657842.436322078,5212543.73124407
"204",314,2,657851.436981299,5212543.23125178
"205",315,43,658520.81158862,5212541.89406309
"206",316,1,657800.433245714,5212542.73125948
"207",317,4,658543.987704675,5212541.23128261
"208",318,6,658731.334759567,5212541.06461851
"209",319,97,659126.035489303,5212535.84476772
"210",320,1,657804.433538701,5212540.73129032
"211",324,1,657799.433172467,5212535.73136741
"212",325,1075,658105.840730462,5212495.72454236
"213",326,1,658497.484298701,5212535.73136741
"214",327,1735,658351.69264089,5212474.02626688
"215",328,14,658533.629803191,5212529.01718521
"216",329,1,658538.487301818,5212525.73152158
"217",330,5,658536.487155325,5212522.93156475
"218",331,1,658544.487741299,5212519.73161409
"219",333,2,658541.987558182,5212516.73166034
"220",334,45,658540.99859686,5212509.86509954
"221",336,14,658522.48612987,5212508.51750127
"222",337,25,658946.077154265,5212505.73182993
"223",338,2,657650.422258701,5212506.23182222
"224",339,6,658369.141565368,5212505.56516583
"225",340,121,658674.720420217,5212501.43437553
"226",341,206,659123.301979118,5212492.01844913
"227",342,54,659146.21699797,5212505.00961884
"228",343,20,659167.483370364,5212505.38183533
"229",345,1,658833.50890961,5212497.73195327
"230",346,5,658841.709510234,5212493.93201186
"231",347,2,658969.518871169,5212494.23200723
"232",349,2105,658870.581933678,5212422.51601079
"233",350,12,659168.450107835,5212488.89875613
"234",351,3,658115.456318442,5212484.7321537
"235",352,10,658674.9973,5212483.23217682
"236",353,5,658824.708265039,5212485.13214753
"237",354,3,658967.518724675,5212483.73216912
"238",355,2435,659159.682696363,5212445.50976047
"239",356,1,658113.456171948,5212481.73219995
"240",357,120,658390.534798905,5212476.1489527
"241",360,83,658983.182522516,5212478.99730236
"242",361,3578,659048.636739655,5212446.80372785
"243",364,327,659243.028200009,5212477.9463256
"244",366,1,659269.540845195,5212481.73219995
"245",367,3,658171.793778009,5212480.39888717
"246",369,78,658839.663206513,5212473.04002627
"247",370,1,658851.510228052,5212475.73229245
"248",371,249,657654.450666197,5212463.39914927
"249",372,35,658823.565324186,5212469.76095595
"250",373,5,659169.533520519,5212470.73236954
"251",374,2,658194.962141559,5212470.73236954
"252",377,1,657667.423503896,5212469.73238496
"253",378,12,659268.79079026,5212465.98244278
"254",379,1,658073.453242078,5212461.7325083
"255",380,1,657668.423577143,5212460.73252372
"256",382,19,658597.491623377,5212458.99570839
"257",383,159,658695.014489357,5212452.83956365
"258",384,229,658063.290925723,5212450.82001279
"259",386,1,658734.501658182,5212459.73253914
"260",387,1584,659247.097282205,5212428.36686111
"261",389,59,659265.879560088,5212453.44450049
"262",390,1,658074.453315325,5212457.73256997
"263",391,297,658730.972780193,5212443.60820861
"264",395,121,659288.947225223,5212453.54255193
"265",396,1364,659314.736970672,5212436.15079128
"266",398,1,657672.42387013,5212454.73261622
"267",399,3,657676.090805368,5212454.06595983
"268",404,15,658199.995843567,5212451.39933428
"269",405,16,658189.649252435,5212448.60771066
"270",406,1,658202.462690909,5212449.73269331
"271",407,28,659274.826946642,5212446.83988077
"272",408,18,657956.889149207,5212443.62167642
"273",409,1,658071.453095584,5212445.73275498
"274",411,1,658205.462910649,5212444.7327704
"275",412,2,659314.044104675,5212444.7327704
"276",413,35,657948.672674405,5212441.36139381
"277",414,14,658190.176076735,5212440.30426725
"278",415,2,658849.510081558,5212443.23279352
"279",416,9,658069.564068341,5212440.62172267
"280",417,4166,658176.830472716,5212400.06735246
"281",418,5,658196.862280727,5212441.53281973
"282",420,486,658631.362416878,5212419.79076812
"283",421,1,657956.444672208,5212440.73283207
"284",422,69,658686.353204186,5212435.25465566
"285",423,43,658717.058520157,5212435.77942007
"286",427,2,659062.525683117,5212437.23288603
"287",431,2,659089.027624156,5212436.73289374
"288",432,1,659196.535498182,5212435.73290916
"289",434,1,659249.53938026,5212434.73292457
"290",441,2,659359.047400779,5212431.73297082
"291",442,12,659367.047986753,5212430.73298624
"292",443,71,658910.232838837,5212428.16964548
"293",445,66,659375.094030602,5212425.29367617
"294",448,5,658733.901614234,5212425.93306025
"295",449,3,659278.541504416,5212426.73304791
"296",450,349,659351.16286915,5212413.66734677
"297",451,293,659093.637176783,5212412.66841834
"298",452,1,659075.526635324,5212423.73309417
"299",454,3,658913.8481271,5212421.39979681
"300",455,25,659081.607080665,5212414.33323909
"301",458,109,658964.114805642,5212402.60497954
"302",461,303,659048.38933422,5212400.10639573
"303",462,1,659167.533374026,5212413.73324834
"304",463,6,659216.036926493,5212412.73326376
"305",464,3,658066.7860871,5212412.06660737
"306",465,51,658810.93862908,5212410.65486443
"307",468,2,659076.526708571,5212410.2333023
"308",469,4,659138.781268182,5212409.98330616
"309",470,243,659188.073973098,5212403.30954074
"310",472,37,659156.829887385,5212405.19283947
"311",475,28,659368.298078311,5212407.37620349
"312",477,436,658060.151809147,5212394.19914584
