"","patch","area_m2","longitude","latitude"
"1",1,34.0081326032523,658642.994956104,5213155.36887283
"2",2,36680.8469677181,658382.564587101,5212769.69792815
"3",3,84.020002391946,658772.897327477,5213104.29403003
"4",4,288.068565016409,658788.852861162,5213092.69153034
"5",5,137.032892964053,658533.392038123,5213079.54780052
"6",8,548.130389437632,658806.457658266,5213069.81802351
"7",9,21.0049977984745,658791.79156846,5213060.2947084
"8",13,27.0064614964067,658635.086969504,5213011.76106515
"9",15,36.008565965225,658798.839703723,5212968.83580103
"10",16,466.110981026432,658778.700174312,5212943.10276907
"11",17,562.133673397213,658817.53087103,5212912.19353475
"12",19,339.081767721742,658391.007473642,5212877.48421045
"13",20,46.0111331791268,658275.359334308,5212881.42168982
"14",21,1885.44865476253,658796.291329632,5212867.953301
"15",22,27.0065377139254,658271.023267936,5212872.94839051
"16",23,3723.90309099958,658211.860908121,5212816.4004218
"17",24,906.215242835257,658853.334865002,5212818.6541577
"18",25,24.0058501514141,658065.952692727,5212831.72680383
"19",27,178.042500151816,658703.004969298,5212827.42349939
"20",28,201.047934661357,658736.700824227,5212825.52291938
"21",29,170.040527758654,658749.608646992,5212805.32721085
"22",30,315.075620122108,658535.934733912,5212797.75907357
"23",33,22.0053506999102,658131.912069138,5212797.18188189
"24",34,186.04440050447,658706.166249524,5212779.75448685
"25",35,12.0028970468557,658357.474044156,5212783.22755158
"26",36,9.002169961459,658362.47441039,5212783.72754387
"27",37,9.00215624575503,658569.489572468,5212781.7275747
"28",38,561.133245853562,658861.664269431,5212778.29447255
"29",39,83.0198035170324,658722.585122747,5212775.13731487
"30",40,4698.1268965881,658553.610189299,5212735.50857258
"31",41,158.037495817844,658887.804025501,5212763.81645845
"32",42,335.079948968982,658714.431531501,5212762.67115209
"33",43,1835.4457284036,658169.048254489,5212731.86294841
"34",44,34.0082109684008,658343.002395997,5212754.19858737
"35",45,1412.33462792542,658928.174483275,5212725.35238156
"36",47,15.0036409161112,658189.061709402,5212752.32802798
"37",51,726.174699398543,658460.229503992,5212717.24096564
"38",52,176.041873796436,658807.870668193,5212726.85342074
"39",53,367.088856159593,658269.573873256,5212705.64155432
"40",56,16.0038027287228,658850.010118182,5212723.22847663
"41",59,129.030697106151,658802.19653873,5212709.78294749
"42",60,23.0055280011147,658495.092819198,5212709.29390886
"43",61,12.0028860963648,658472.982504156,5212707.7287156
"44",63,315.075129058561,658732.907890658,5212702.3605444
"45",64,360.085154045577,658983.789360804,5212695.56223651
"46",65,2014.48320282673,658552.190390854,5212680.21275453
"47",66,51.0120722698339,658964.851862684,5212690.17996655
"48",67,18.0042681305204,658922.015391948,5212682.72910104
"49",70,790.188835526758,658666.029554582,5212662.49017257
"50",71,63.0149971694918,658790.061283001,5212680.80849573
"51",72,494.119990531937,658170.893577124,5212669.18275119
"52",73,38.0092056780995,658253.545379645,5212671.96610908
"53",74,114.026958679111,658992.336331825,5212668.60651175
"54",75,30.0071485723311,658755.803218338,5212671.32927679
"55",76,344.081928268395,658776.216922768,5212662.47650631
"56",77,30.0071051181585,658946.650529593,5212658.86280233
"57",78,1178.27946002522,658896.876029484,5212640.86641879
"58",79,12.0028733514482,658615.992978442,5212655.72951731
"59",80,33.0079168255033,658546.790940291,5212653.03258919
"60",81,24.0057565050083,658553.571739957,5212652.81289561
"61",82,2440.58033500172,658818.025808393,5212590.38708211
"62",83,233.055831542442,658592.671527857,5212639.76409822
"63",85,49.0117277269601,658630.085847357,5212638.60733231
"64",86,844.204263416061,658282.845355498,5212621.20990734
"65",87,132.031664369919,658557.231098882,5212636.26012051
"66",88,48.011454773572,658716.79202777,5212634.02151866
"67",89,389.092089144891,658961.883350493,5212623.48836915
"68",90,2229.53490833435,658545.592802047,5212595.53618784
"69",91,36.0085491800855,658860.038630462,5212622.84113548
"70",92,1822.43210653582,658905.866020342,5212584.37167127
"71",93,3182.76146338449,658631.214709266,5212575.5714194
"72",95,612.149539901526,657985.644523263,5212595.36116701
"73",98,16.0038226178149,658693.998691688,5212606.23028047
"74",99,26.0061674194003,658916.130345534,5212602.73033443
"75",100,97.0229577978898,658965.951599588,5212596.31806216
"76",106,30.0071724968439,658665.496604156,5212586.33058728
"77",109,25.0059192104382,658956.477916031,5212583.81062613
