"","patch","area_m2","longitude","latitude"
"1",1,157,658506.6951644,5213149.53719054
"2",2,8,658519.735928441,5213155.72180856
"3",3,5,658526.486422857,5213156.72179315
"4",4,122284,658216.657320877,5212763.70536393
"5",5,1,658568.489499221,5213156.72179315
"6",6,1,658577.490158441,5213156.72179315
"7",10,5,658666.896706701,5213156.52179623
"8",11,2,658572.489792208,5213155.22181627
"9",12,1,658569.489572467,5213154.72182398
"10",13,3,658592.824614892,5213153.7218394
"11",15,4,658526.986459481,5213151.72187024
"12",18,1,658521.486056623,5213151.72187023
"13",19,3,658530.153358095,5213151.38854204
"14",20,8,658523.111175649,5213149.596903
"15",22,1,658525.48634961,5213147.7219319
"16",24,5,658524.086247065,5213144.52198124
"17",25,2,658519.48591013,5213143.22200128
"18",26,1,658658.496091428,5213142.72200899
"19",27,1,658585.490744416,5213141.72202441
"20",31,9,658518.485836883,5213136.7221015
"21",32,1,658602.49198961,5213137.72208608
"22",33,1,658514.485543896,5213135.72211691
"23",37,11,658500.302686942,5213129.81311711
"24",41,3,658704.16610303,5213131.38885039
"25",44,1,658647.495285714,5213130.722194
"26",45,1,658507.485031169,5213129.72220942
"27",46,1,658609.492502338,5213129.72220942
"28",49,1,658609.492502338,5213126.72225567
"29",50,1,658595.491476883,5213125.72227109
"30",52,2,658605.492209351,5213124.22229422
"31",53,1,658586.490817662,5213123.72230192
"32",54,1,658590.491110649,5213123.72230192
"33",55,2,658609.492502338,5213123.22230963
"34",57,1,658517.485763636,5213122.72231734
"35",60,2,658604.992172727,5213121.72233276
"36",61,30,658586.890846961,5213117.88905853
"37",64,3,658607.492355844,5213119.3890354
"38",65,6,658612.326043204,5213115.88908936
"39",67,13,658580.721164316,5213113.18400286
"40",70,2,658587.490890909,5213113.22246381
"41",71,16,658496.359216298,5213109.22252548
"42",72,2,658610.492575584,5213110.22251006
"43",73,1,658575.490011948,5213109.72251777
"44",77,1,658573.489865455,5213103.72261027
"45",78,1,658608.492429091,5213103.72261027
"46",79,3,658575.156654199,5213101.38931291
"47",83,2,658566.489352727,5213096.2227259
"48",84,1,658534.487008831,5213095.72273361
"49",88,4,658533.986972208,5213091.22280299
"50",89,2,658664.996567533,5213091.22280299
"51",90,1,658530.486715844,5213089.72282612
"52",91,18,658642.050442482,5213086.11177068
"53",92,67,658651.331387571,5213082.8124849
"54",94,2,658527.486496104,5213086.22288008
"55",95,2,658561.488986493,5213085.2228955
"56",96,1,658534.487008831,5213084.7229032
"57",107,3,658562.822417489,5213073.3897446
"58",108,23,658739.284617188,5213070.72311905
"59",109,1,658565.48927948,5213071.72310363
"60",111,1,658595.491476883,5213066.72318072
"61",112,1,658562.48905974,5213065.72319614
"62",113,4,658565.239261169,5213064.9732077
"63",114,2,658432.979574286,5213064.72321155
"64",115,1,658596.49155013,5213064.72321155
"65",116,3,658473.14918303,5213063.38989878
"66",118,27,658447.888073612,5213055.98260557
"67",122,26,658473.597933846,5213055.49258464
"68",123,13,658578.721017822,5213055.72335031
"69",124,1,658620.493308052,5213056.7233349
"70",125,1,658443.480343377,5213054.72336573
"71",126,3,658569.156214718,5213054.39003754
"72",128,4,658618.993198182,5213053.22338886
"73",129,263,658739.243450345,5213046.14555121
"74",131,1,658742.502244156,5213052.72339656
"75",132,1,658569.489572468,5213051.72341198
"76",134,5,658449.880812156,5213048.92345515
"77",135,1,658484.483346493,5213049.72344282
"78",138,4,658495.984188831,5213048.22346594
"79",139,10,658504.984848052,5213046.32349524
"80",140,2,658580.990414805,5213046.72348907
"81",141,6,658423.978915065,5213045.2235122
"82",142,6,658709.666505888,5213043.55687122
"83",143,2,658576.990121818,5213042.72355074
