"","patch","area_m2","longitude","latitude"
"1",1,56.0133978953527,658642.994956104,5213155.43609868
"2",2,70.0167331870471,658663.853626679,5213146.67909084
"3",3,163578.322090539,658484.935155617,5212472.17359984
"4",4,492.117148382851,658784.856972291,5213095.37111302
"5",5,205.049210537662,658533.203988032,5213079.45469175
"6",8,695.165366511384,658805.732774528,5213069.11307193
"7",11,26.0062232002383,658615.992978442,5213005.72412119
"8",12,66.0157964652753,658617.97797231,5212989.99709094
"9",13,21.005015294475,658672.497116883,5212991.72433703
"10",14,57.0136447794794,658627.599091647,5212983.6718296
"11",16,616.147207544913,658670.217729158,5212963.62249757
"12",17,88.0210110874905,658698.942235579,5212977.73591634
"13",18,182.043533857039,658640.412349368,5212975.25755795
"14",19,63.0150977509911,658586.078089021,5212975.91505697
"15",21,67.0159848437179,658721.993279364,5212973.87386598
"16",23,59.014041593211,658798.82840346,5212968.86028276
"17",24,96.0229710277345,658634.233897765,5212964.22476101
"18",25,96087.8045499959,658876.915107528,5212649.24948398
"19",27,37.008832466061,658692.012059698,5212963.29234296
"20",28,21.0050297077687,658608.492429091,5212961.72479956
"21",29,46.0110016884864,658649.995468831,5212954.6162135
"22",31,208.04958608278,658745.343798429,5212944.55679502
"23",32,26.006211112428,658682.997885974,5212943.72507707
"24",33,49.0116995943827,658698.009189505,5212939.27616607
"25",35,21.0050197856326,658670.49697039,5212924.72537
"26",36,228.054374394153,658733.133136897,5212919.7079035
"27",43,458.110480805772,658391.120613281,5212877.39203864
"28",44,21.0050428133109,658518.485836883,5212894.72583253
"29",46,21.0050006322272,658781.505100779,5212889.72590962
"30",49,79.0191253719095,658275.316128062,5212881.4348982
"31",50,4179.01342041552,658213.272721521,5212817.46948415
"32",59,21.0050411978154,658530.486715844,5212838.72669591
"33",64,46.0112115753873,658065.952692727,5212831.72680383
"34",67,21.0050473443989,658516.48569039,5212830.72681925
"35",68,26.0062452823331,658534.987045455,5212828.72685008
"36",70,86.0206340289733,658548.197315319,5212822.68043168
"37",71,102.024461457797,658560.930122032,5212819.05052868
"38",72,237.056491612835,658749.642007588,5212805.45716665
"39",73,420.100823719549,658535.682334474,5212797.91303945
"40",75,42.0102122423414,658131.957527013,5212797.22733573
"41",76,21.0050305137411,658595.491476883,5212789.72745136
"42",80,21.0050344439223,658569.489572468,5212781.7275747
"43",81,21.0050305970071,658597.491623377,5212778.72762096
"44",83,26.0062212208577,658624.993637662,5212777.72763637
"45",86,2102.51058656292,658169.073470935,5212732.37391126
"46",87,37.0087709632062,658926.948185665,5212759.21440829
"47",91,52.0124930997263,658504.484811428,5212742.22818369
"48",92,31.0074586716946,658463.481808312,5212741.7281914
"49",93,952.229067659791,658462.750662325,5212716.26534869
"50",97,505.122274366266,658269.40818815,5212705.44558248
"51",101,32.0076053908851,658850.010118182,5212723.22847663
"52",102,21.0050206891901,658655.495871688,5212718.72854601
"53",106,443.104788912722,658983.774994314,5212695.52574347
"54",107,36.0086568540719,658482.983236623,5212703.72877727
"55",114,76.0179883347591,658964.834317539,5212690.2289854
"56",115,571.138685719605,658170.892953129,5212669.25470283
"57",117,64.0155026576831,658253.544557216,5212672.01051629
"58",118,159.037602893717,658992.375891161,5212668.58466502
"59",121,21.0050596299698,658456.481295584,5212658.72947106
"60",122,21.0050579419185,658434.479684156,5212655.72951731
"61",123,26.0062234693323,658615.992978442,5212655.72951731
"62",131,306.073320262396,658592.445502158,5212639.72649607
"63",132,75.0179454632162,658630.080676911,5212638.63644751
"64",135,994.240572045557,658282.811634128,5212620.83166501
"65",136,190.045580354665,658557.157090272,5212636.27718564
"66",138,21.0050492112059,658489.483712727,5212632.72987191
"67",140,1298.3097950196,658712.839825106,5212603.28271421
"68",141,59.014014063112,658860.104077816,5212622.86561722
