"","patch","area_m2","longitude","latitude"
"1",1,34.0081326032523,658642.994956104,5213155.36887283
"2",2,40.0095614205056,658663.746475974,5213146.72194732
"3",3,46514.2127859421,658398.673844689,5212733.96307017
"4",4,84.020002391946,658772.897327477,5213104.29403003
"5",5,288.068565016409,658788.852861162,5213092.69153034
"6",6,137.032892964053,658533.392038123,5213079.54780052
"7",9,548.130389437632,658806.457658266,5213069.81802351
"8",10,21.0049977984745,658791.79156846,5213060.2947084
"9",14,27.0064614964067,658635.086969504,5213011.76106515
"10",15,12.0028723547002,658615.992978442,5213005.72412119
"11",17,40.0095712222101,658617.968123104,5212990.09936209
"12",18,9.00214927073102,658672.497116883,5212991.72433703
"13",19,18.0043071545078,658629.994003896,5212984.22445266
"14",20,9.0021560266614,658623.493527792,5212982.72447579
"15",21,12.002868913929,658660.996274545,5212982.72447579
"16",22,9.00214932009112,658693.498655065,5212982.72447579
"17",23,24.0057422833052,658640.99480961,5212979.72452204
"18",24,37.0088677837921,658586.139440576,5212975.91376998
"19",25,41.0097999851278,658665.716132429,5212976.06604186
"20",26,26.0062093026936,658698.383628231,5212976.76302924
"21",27,9.00214994326234,658654.495798442,5212976.72456829
"22",29,71.0169849107333,658638.705909574,5212973.97813176
"23",30,18.0042958894046,658725.000962338,5212975.72458371
"24",31,9.00214826955926,658705.499534026,5212974.72459913
"25",32,9.00215282198042,658648.495358961,5212973.72461455
"26",33,317.075762511115,658673.730645714,5212960.30210856
"27",34,15.0035780591425,658718.500486234,5212971.72464538
"28",35,36.008565965225,658798.839703723,5212968.83580103
"29",36,25.0059839756286,658630.054008291,5212965.32474405
"30",37,1785.42488870866,658794.579447719,5212923.40830348
"31",38,24.0057396523189,658638.994663117,5212963.09977836
"32",39,9.00215195957571,658654.495798442,5212963.72476872
"33",40,19.0045370452281,658692.024862912,5212963.30372258
"34",41,9.0021578555461,658608.492429091,5212961.72479956
"35",42,9.00215179950465,658657.496018182,5212958.72484581
"36",43,9.0021521016024,658647.495285714,5212955.72489206
"37",45,12.0028700074181,658651.995615325,5212953.7249229
"38",47,135.032185773714,658745.250593597,5212944.45839909
"39",49,12.002866104478,658682.997885974,5212943.72507707
"40",50,25.005971646402,658697.938980281,5212939.32514491
"41",54,9.00214906793553,658670.49697039,5212924.72537
"42",55,25.0059674707591,658717.420407127,5212922.16540947
"43",56,86.0205057435669,658740.804445388,5212919.14406071
"44",57,15.0035781225888,658725.500998961,5212919.72544709
"45",59,9.00214772461914,658730.501365195,5212917.72547793
"46",63,82232.513000652,658882.073947127,5212641.77302249
"47",68,339.081767721742,658391.007473642,5212877.48421045
"48",69,9.00216214638203,658518.485836883,5212894.72583253
"49",71,9.00214320525993,658781.505100779,5212889.72590961
"50",74,46.0111331791268,658275.359334308,5212881.42168982
"51",76,27.0065377139254,658271.023267936,5212872.94839051
"52",77,3723.90309099958,658211.860908121,5212816.4004218
"53",79,12.0028758104891,658582.990561299,5212853.72646465
"54",81,9.00215834833216,658582.490524675,5212848.72654173
"55",85,9.00215640815441,658586.490817662,5212847.72655715
"56",90,75.0179961897084,658548.488034286,5212842.15330974
"57",91,9.00215738557745,658586.490817662,5212842.72663424
"58",92,9.00216000084765,658530.486715844,5212838.72669591
"59",98,9.00216048513539,658541.487521558,5212834.72675758
"60",100,82.0196632833395,658566.501548743,5212829.89756374
"61",101,24.0058501514141,658065.952692727,5212831.72680383
"62",104,9.00216177175753,658516.48569039,5212830.72681925
"63",105,12.0028830886586,658534.987045455,5212828.72685008
"64",110,18.0043192660669,658546.987924416,5212825.72689633
"65",111,67.0160656288499,658560.84714844,5212819.02550712
"66",112,28.0067196984601,658549.130938516,5212820.44126354
"67",113,170.040527758654,658749.608646992,5212805.32721085
"68",114,315.075620122108,658535.934733912,5212797.75907357
"69",117,22.0053506999102,658131.912069138,5212797.18188189
"70",119,9.00215635378845,658595.491476883,5212789.72745136
"71",120,25.0059856620792,658613.012760166,5212788.84746493
"72",121,186.04440050447,658706.166249524,5212779.75448685
"73",122,12.0028970468557,658357.474044156,5212783.22755158
"74",123,9.002169961459,658362.47441039,5212783.72754387
"75",124,9.00215624575503,658569.489572468,5212781.7275747
"76",125,9.0021561565809,658597.491623377,5212778.72762096
"77",126,83.0198035170324,658722.585122747,5212775.13731487
"78",127,12.0028722097632,658624.993637662,5212777.72763637
"79",130,1835.4457284036,658169.048254489,5212731.86294841
"80",131,19.004500915471,658926.936805031,5212759.20160621
"81",132,34.0082109684008,658343.002395997,5212754.19858737
"82",134,15.0036409161112,658189.061709402,5212752.32802798
"83",135,15.0035548697924,658931.516087792,5212751.72803723
"84",139,28.0067282671807,658504.484811428,5212742.2281837
"85",140,15.0036108702188,658463.481808312,5212741.7281914
"86",142,12.0028668527957,658682.997885974,5212731.72834558
"87",143,758.182398250035,658460.675534175,5212716.77870799
"88",148,367.088856159593,658269.573873256,5212705.64155432
"89",150,12.0028672480257,658676.997446493,5212728.72839183
"90",155,16.0038027287228,658850.010118182,5212723.22847663
"91",158,9.00215130497236,658655.495871688,5212718.72854601
"92",159,18.0042957178084,658707.999717143,5212714.72860768
"93",164,23.0055280011147,658495.092819198,5212709.29390886
"94",167,360.085154045577,658983.789360804,5212695.56223651
"95",168,18.0043289972236,658482.983236623,5212703.72877727
"96",169,21.0050255613169,658628.493894026,5212702.72879269
"97",177,51.0120722698339,658964.851862684,5212690.17996655
"98",178,494.119990531937,658170.893577124,5212669.18275119
"99",179,9.00216122879647,658532.486862338,5212677.72917812
"100",181,38.0092056780995,658253.545379645,5212671.96610908
"101",182,114.026958679111,658992.336331825,5212668.60651175
"102",183,30.0071485723311,658755.803218338,5212671.32927679
"103",185,9.00216664723121,658456.481295584,5212658.72947106
"104",187,9.00216707435902,658434.479684156,5212655.72951731
"105",188,12.0028733514482,658615.992978442,5212655.72951731
"106",189,33.0079168255033,658546.790940291,5212653.03258919
"107",190,24.0057565050083,658553.571739957,5212652.81289561
"108",197,27.0064993441047,658453.925552843,5212646.54447373
"109",199,233.055831542442,658592.671527857,5212639.76409822
"110",201,87.0209304811142,658467.14874355,5212636.63785764
"111",204,49.0117277269601,658630.085847357,5212638.60733231
"112",207,853.206437631568,658283.010208141,5212621.29980195
"113",208,132.031664369919,658557.231098882,5212636.26012051
"114",210,9.00216424907558,658489.483712727,5212632.72987191
"115",212,1040.2482022128,658713.512620915,5212603.23994196
"116",213,36.0085491800855,658860.038630462,5212622.84113548
