"","patch","area_m2","longitude","latitude"
"1",1,172095.705259506,658234.143786545,5212775.40776094
"2",4,72.0172671875043,658572.545351832,5213155.90236133
"3",15,21.0050451118441,658507.485031169,5213129.72220942
"4",17,41.0098299205711,658574.563114792,5213102.23482834
"5",19,32.0076663895743,658595.991513507,5213065.72319614
"6",23,21.0050493156596,658484.483346494,5213049.72344282
"7",25,21.0049966350198,658798.506345974,5213025.72381284
"8",29,67.0160974673927,658507.455178236,5212999.32123483
"9",30,26.0062608581793,658447.980672987,5212998.72422911
"10",37,1215.28864474397,658853.986129556,5212964.35521168
"11",38,1774570.08909833,658664.053169108,5211496.39918828
"12",45,34.0081952350447,658410.742651505,5212957.72486123
"13",47,432.103933600389,658465.931061772,5212939.69967617
"14",48,41.0097358756175,658869.511546493,5212946.72503082
"15",49,61.0145102926181,658811.753217833,5212936.34814163
"16",51,3335.7931185246,658822.028308635,5212901.09335055
"17",52,900.216789645201,658429.065954313,5212898.76132587
"18",57,31.0074474310677,658509.485177662,5212896.72580169
"19",60,104.024697080895,658862.337944166,5212882.93755274
"20",61,21.0050466443645,658504.484811429,5212885.72597129
"21",62,21.0050102573878,658722.500779221,5212882.72601754
"22",64,43.0103409792937,658490.600073561,5212876.60983277
"23",66,527.125568837189,658764.270441904,5212870.78123016
"24",71,21.0050097307831,658716.50033974,5212870.72620255
"25",73,21.0050124704721,658704.499460779,5212869.72621797
"26",74,14630.4744756712,658857.751951355,5212773.87591481
"27",75,26.0061996642035,658743.002280779,5212862.72632589
"28",78,96.0227824905014,658891.26313961,5212844.42452472
"29",84,21.0050462604559,658503.484738182,5212842.72663424
"30",87,541.128745605616,658801.733939114,5212826.89323695
"31",97,28.006735791103,658467.982137922,5212830.22682696
"32",107,88.0214764089033,658015.312620142,5212811.01121413
"33",109,2000.47742812277,658707.426675172,5212777.1876447
"34",114,40.0095171667344,658805.006822078,5212803.22724323
"35",117,26.0063786355895,657852.937091169,5212801.72726635
"36",123,30.0073102572933,658066.819422875,5212791.09409696
"37",124,21.0051143470919,658077.453535065,5212790.72743595
"38",128,40.009554482589,658688.623297987,5212780.1775986
"39",130,133.032711484266,657781.943169671,5212775.29910239
"40",135,21.0051668243541,657763.430535585,5212765.72782138
"41",136,39.0095823603333,657805.895184216,5212765.49705571
"42",137,21.0051433551416,657921.442108572,5212763.72785222
"43",139,21.0050167138688,658676.49740987,5212759.72791389
"44",141,47.0114929480187,657960.487521503,5212755.38755528
"45",143,21.0051704395446,657741.428924156,5212750.72805265
"46",145,129.030803311063,658700.057274962,5212740.34836772
"47",146,41.0097908348544,658710.49990026,5212742.72817598
"48",149,26.0064075954142,657718.427239481,5212739.22822995
"49",150,97.0238823151449,657742.418687369,5212738.6973103
"50",152,78.0191022932413,657917.608494459,5212734.44625239
"51",153,1685.4012270364,658783.756304236,5212729.12541835
"52",156,21.0050161404361,658689.498362078,5212735.72828391
"53",157,104.025443977735,657945.463098671,5212732.75717587
"54",162,40.009805236361,657877.938922337,5212723.22847662
"55",164,21.0050076980551,658743.502317403,5212724.7284535
"56",165,21.0051449361781,657907.441083117,5212722.72848434
"57",167,132.032235880324,658001.622223499,5212715.02405767
"58",168,212.0504449211,658805.138907224,5212711.14375729
"59",171,200.049088652071,657843.37639093,5212710.49867289
"60",175,161.038335931749,658782.480327485,5212704.53000715
"61",178,28.0067422382999,658434.97972078,5212710.22867706
