"","patch","area_m2","longitude","latitude"
"1",1,14,658642.994956104,5213155.43609868
"2",2,5,658661.49631117,5213146.72194732
"3",3,3,658667.496750649,5213146.72194732
"4",4,36311,658378.564955743,5212722.04908639
"5",5,42,658772.528252826,5213104.60354907
"6",6,184,658789.2393629,5213093.10320878
"7",7,1,658776.504734545,5213101.72264111
"8",8,16,658527.423991526,5213078.97299186
"9",10,30,658538.08727252,5213080.08964131
"10",12,395,658806.306917298,5213069.92059978
"11",13,1,658523.486203117,5213078.72299571
"12",14,1,658532.486862338,5213078.72299571
"13",15,1,658793.50597974,5213061.72325781
"14",16,2,658790.50576,5213059.22329635
"15",18,458,658670.435830541,5213015.64318222
"16",19,1,658583.490597922,5213032.72370491
"17",23,2,658538.987338442,5213022.72385909
"18",24,7,658542.344727198,5213021.43816463
"19",25,1,658538.487301818,5213020.72388992
"20",28,1,658632.494187013,5213012.72401326
"21",29,775,658763.516686509,5212990.67015974
"22",30,4,658635.994443377,5213011.47403254
"23",34,6,658697.998984675,5213007.72409035
"24",35,2,658615.992978442,5213005.72412119
"25",37,1,658479.48298026,5213001.72418286
"26",40,3,658498.484371948,5212999.72421369
"27",41,1,658496.484225455,5212997.72424453
"28",42,3,658483.149915498,5212991.05768064
"29",43,5,658619.493234805,5212990.1243617
"30",44,1,658672.497116883,5212991.72433703
"31",45,3,658615.159584069,5212990.05769606
"32",46,1,658490.483785974,5212989.72436787
"33",47,1,658628.493894026,5212984.72444495
"34",48,1,658631.494113766,5212983.72446037
"35",49,1,658623.493527792,5212982.72447579
"36",50,2,658660.996274545,5212982.72447579
"37",51,1,658693.498655065,5212982.72447579
"38",53,6,658640.99480961,5212979.72452204
"39",54,3,658583.490597922,5212977.39122468
"40",55,1,658661.496311169,5212977.72455288
"41",56,3,658697.498948052,5212976.72456829
"42",57,1,658654.495798442,5212976.72456829
"43",58,5,658668.296809247,5212975.52458679
"44",59,1,658700.499167792,5212976.72456829
"45",60,4,658587.990927532,5212974.97459527
"46",61,13,658635.263620619,5212975.26305237
"47",63,3,658664.496530909,5212975.72458371
"48",64,4,658725.000962338,5212975.72458371
"49",65,1,658640.494772987,5212974.72459913
"50",66,1,658705.499534026,5212974.72459913
"51",67,1,658648.495358961,5212973.72461455
"52",68,1,658642.49491948,5212972.72462996
"53",69,1,658644.495065974,5212972.72462996
"54",70,1,658655.495871688,5212971.72464538
"55",71,2,658658.996128052,5212971.72464538
"56",72,3,658718.500486234,5212971.72464538
"57",73,1,658646.495212468,5212969.72467622
"58",74,10,658665.096574857,5212968.12470089
"59",75,14,658798.720647384,5212968.86754658
"60",76,1,658630.494040519,5212966.72472247
"61",77,89,658677.677271565,5212959.09562661
"62",78,1,658632.494187013,5212965.72473789
"63",80,2,658673.997226753,5212965.22474559
"64",81,1095,658796.856910098,5212923.11443594
"65",83,1,658627.493820779,5212963.72476872
"66",84,1,658636.49448,5212963.72476872
"67",85,1,658654.495798442,5212963.72476872
"68",86,2,658690.998471948,5212963.72476872
"69",87,3,658640.494772987,5212962.72478414
"70",88,1,658693.498655065,5212962.72478414
"71",89,1,658608.492429091,5212961.72479956
"72",92,1,658657.496018182,5212958.72484581
"73",93,1,658647.495285714,5212955.72489206
"74",94,12,658671.913740823,5212953.64159085
"75",96,2,658651.995615325,5212953.7249229
"76",97,1,658677.497483117,5212950.72496915
"77",99,3,658746.502537143,5212948.72499998
"78",100,10,658752.402969299,5212945.42505086
"79",101,32,658741.908450666,5212943.44383141
"80",102,2,658682.997885974,5212943.72507707
"81",103,15,658765.103899532,5212940.59179205
"82",104,1,658695.498801559,5212940.72512332
"83",105,1,658697.498948052,5212939.72513874
"84",106,1,658700.499167792,5212937.72516958
"85",109,2,658762.003672468,5212935.72520041
"86",111,3,658430.479391169,5212926.72533917
"87",112,1,658768.504148572,5212926.72533917
"88",115,1,658670.496970389,5212924.72537
"89",117,5,658716.70035439,5212922.325407
"90",118,1,658738.501951169,5212922.72540084
"91",119,15,658744.035689801,5212919.72544709
"92",120,1,658719.500559481,5212921.72541626
"93",121,3,658725.500998961,5212919.72544709
"94",123,1,658730.501365195,5212917.72547793
"95",124,11,658737.592793672,5212917.18003179
"96",126,3,658759.503489351,5212916.72549334
"97",133,102,658775.416419542,5212902.46100738
"98",134,3,658852.843659048,5212905.05900655
